"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bolivia","BOL","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.038088423","0.064452213","0.096184392","0.14051744","0.187207717","0.355465992","0.81586561","0.972545573","0.95484043","0.720085491","1.124606318","1.461700715","1.613811476","1.664723963","2.606905809","3.394987249","4.4401541","6.487149421","7.98352029",
"Brazil","BRA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000588979","0.004062241","0.0572114","0.186798742","0.407157234","0.53146472","1.71595369","1.737414889","2.533386822","4.002227039","5.216317824","6.049928446","7.204858261","9.028728397","9.594011307","10.62528321","11.82082759","12.46258988","13.02890048","13.90912537","14.91053848","15.5920738","17.09859319",
"Barbados","BRB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.958480511","10.76342977","11.55966025","13.98314095","16.91173305","17.58053339","20.38569355","19.91628003","22.1331722","23.57552494","23.84767988","27.29034568","27.4316216","30.4017551","31.21244305","31.16790689","37.21034753","",
"Brunei Darussalam","BRN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5575913","0.795023963","1.086350423","1.742188391","2.225606249","2.420981843","3.098155828","4.451783112","5.217162535","5.583229983","5.889181281","4.974823867","6.81393894","7.384404384","8.29704006","8.604097189","9.675998238","11.52826701","12.50793358","16.24717986",
"Bhutan","BTN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.306724259","0.497992844","1.265494097","1.90870304","2.389745446","2.883685305","3.473865003","3.829498431","2.23820021","2.240856909","1.43188916","1.149795831","0.406812786",
"Botswana","BWA","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.088934443","0.098044129","0.188753793","0.464596931","0.511902239","0.602786466","0.948941725","1.090237287","1.046763518","1.593876908","1.737384921","2.734212777","1.47087634","1.776521383","2.139821339","3.057372619",
"Central African Republic","CAF","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.018331445","0.013637134","","","0.041351652","0.016219721","0.013468166","0.013029405","0.010515923","",
"Canada","CAN","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.466323561","1.92063266","4.612640034","9.183916113","11.27388014","14.33242226","17.0231523","21.77568932","24.72263335","27.55877068","29.52309639","30.49241878","31.67752464","32.66605015","33.47432552","34.26529941","35.23968495","36.40462417","36.79332821","37.90637316","38.96365923","40.8261656","41.80101115",
"Central Europe and the Baltics","CEB","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.093375570080013","0.421324863618635","0.956957873877111","2.03119035714998","3.58256577756282","7.77503863043785","11.4684565206808","13.4517403008167","15.9139499341208","17.1855020758211","19.2936500309457","19.9944804917808","21.1049074222517","21.8780422428559","22.5687002251853","23.3693603964209","24.4316379036349","25.4918315630701","26.5113017679356","27.6497969034719",
"Switzerland","CHE","Fixed broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.789724068","1.950086424","6.304656945","10.78474522","16.75916271","22.59724623","27.48988396","31.5854277","33.53478981","35.53584712","37.31128521","38.93184665","40.11446287","42.39913339","43.09024053","44.60242685","45.05910977","46.31990051","45.55542119","46.82049942","46.48383257",
