"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","90000","2340000","2200000","1543333.3333","5420000","6980000","7700000","-8010000","8510000","5360000","6960000","403978.557545405","-553269.398283548","-6660000","2436499.3440436","3205086.7621919","1838242.49913628","247908.273938643","3238781.18895631","1390444.32247979","3721853.38228801","14049886.5245761","11147788.327757","1896372.12711773","13529831.5362586","139376153.115317","190059372.97475","179603006.318605","280384629.677983","78527040.0772574","52304931.038967","268285231.831689","448905400.707685","813321971.875196","456523167.703824","651029738.054822","1328422986.51751","901286583.13086","1232258246.59254","1264725163.33408","1584403459.98466","2602962095.36816","2539190939.6837","2831152765.15515","2332724780.71108","1810395803.56746","2421626238.43717","1908045387.02685","",
"Bulgaria","BGR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","4000000","55900000","41500000","40000000","105400000","90400000","109000000","504800000","537317256.150851","818788154.863275","1001503841.99968","812942201.973002","904659791.087722","2096788700.05598","3072550961.81564","4098122930.77934","7874476255.43262","13875270456.9117","10296720633.7243","3896664559.17164","1842900000","2103810000","1788110000","1989040000","1093600000","2221390000","1488430000","2007290000","1809860000","2075750000","",
"Bahrain","BHR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","3400000","110000","1320000","3210000","650000","22970508.3355514","145171539.850449","-418036875.019956","4150000","28457446.8841953","64095744.8513185","140691489.51761","101329787.234043","-31914893.6170213","-35904255.3191489","222074468.085106","180851063.829787","91755319.1489362","619414893.617021","868617021.276596","-275000007.923316","208244700.235544","430586743.724592","2048151879.61006","329284164.223769","179454413.27302","453737837.974613","363562321.906708","80358858.3697633","216986881.649309","516700276.442676","865308118.622994","1048601306.14142","2914659868.30075","1756312514.78198","1793998354.54447","257149561.420298","155771009.169721","780851063.829787","1544680851.06383","3727712765.95745","1518617021.2766","64893617.0212766","243351063.829787","518882978.723404","111170212.765957","941755319.1489","",
"Bahamas, The","BHS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","80320000","54660000","90430000","102250000","143440000","17580000","14600000","31400000","-1100000","9600000","4100000","34400000","2800000","-6000000","-4900000","-30200000","-13200000","10800000","36700000","25400000","-17000000","-1300000","300000","27300000","23600000","106900000","87800000","210000000","146900000","149300000","250250000","102370000","152790000","190200000","273600000","563414700","706380000","713350000","860156197.03","663960000","871970000","666621000","526171000","382252000","251277428.82","76075924.75","390400036.41","304587573.117333","491404689.229667","264596251.69575","",
"Bosnia and Herzegovina","BIH","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66736468.3604305","176780594.760508","146075610.876644","118495219.813023","267769568.956599","381784637.391406","889597294.548592","623812851.5592","845962876.359591","1841972230.25245","1004852659.85344","138511019.727863","443840207.092831","471610992.220788","391976946.375189","313295008.331529","544866345.45742","383089615.729344","313198153.358835","509429047.915133","601783317.146819","437713500.434473","",
"Belarus","BLR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000000","17600000","10500000","14700000","104500000","351600000","203200000","444000000","118800000","95800000","247100000","171800000","163800000","306600000","357100000","1807300000","2187900000","1876500000","1393400000","4002400000","1463600000","2246100000","1862000000","1652300000","1246900000","1276300000","1426500000","1273300000","",
"Belize","BLZ","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","7090000","3340000","","","","","","","2000000","-50000","","-2000000","","","-3700000","3700000","4600000","6850000","14000000","18650000","17200000","13600000","15600000","9200000","15369500","21050000","16580000","11955000","17650000","58671500","29564651.9166666","61174888.8668778","25461176.8782397","-10924755.7533455","111496166.355423","126908465.922063","108828544.570357","140373737.268583","169668449.489583","108840086.423874","96449877.0838033","95348525.1917313","194201408.788436","92247730.9426541","141097030.34391","59119223.8981488","32733410.9928006","31831615.5013862","122041646.954707","93910241.7033733","",
"Bermuda","BMU","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34700000","102700000","60500000","66900000","41800000","5400000","12900000","831600000","43700000","-88170000","617153591.794277","171529641.632488","-70747817.1664244","222710475.853259","-257865988.558357","47614095.0743783","54904045.8298395","-3425440.52413015","-143094386.12","-73213793.633562","-288109270.997092","95416371.5","4389826.5","",
"Bolivia","BOL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","19764000","1900000","16205000","4600000","44233000","61597000","-8100000","-1200000","11500000","35000000","47000000","75700000","31100000","7000000","7000000","10000000","10000000","38100000","-10100000","-24400000","27200000","52000000","93100000","123800000","130200000","392700000","474100000","730600000","949300000","1010500000","736350000","705756000","676543000","197400000","65430000","-238620000","280763457","366294241.538303","512335605.237139","423040000","621997989.548348","858941070.400943","1059965390.78481","1749612614.39791","656566350.80003","554643532.297183","335365530.426077","712474137.775022","302368781.37636","-216636843.1305","",
"Brazil","BRA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","391700000","449000000","459900000","1180700000","1207900000","1302000000","1555000000","1833000000","2006000000","2419000000","1911000000","2520000000","2910000000","1609000000","1594000000","1441000000","345000000","1169000000","2804000000","1131000000","989000000","1103000000","2061000000","1292000000","3072000000","4859000000","12552000000","18992934310.6468","28855609916.42","28385675614.9902","32994718699.75","23225846372.251","16586600193.114","10123013670.9901","18161380459.7533","15459981604.1196","19418085598.0794","44579492463.6336","50716402711.4787","31480931700","82389932468.07","102427228231.42","92568388321.34","75211029129.4","87713983217.24","64738153494.44","74294627801.19","68885491315.23","78162724370.35","69174411753.43","",
